Date,AAPL,AXXON,TSLA
23/06/2019,48.006615,64.209999,14.897333
30/06/2019,49.537136,64.059998,15.54
07/07/2019,49.311554,64.5,16.338667
14/07/2019,49.139347,65.919998,17.212
21/07/2019,50.388512,69.5,15.202667
28/07/2019,49.486202,69.080002,15.622667
04/08/2019,48.751255,58.09,15.667333
11/08/2019,50.278046,59.220001,14.662667
18/08/2019,49.338226,59.369999,14.093333
25/08/2019,50.823437,59.970001,15.040667
01/09/2019,51.92395,61.990002,15.163333
08/09/2019,53.260647,65.110001,16.346666
15/09/2019,53.012295,63.540001,16.041332
22/09/2019,53.277687,58.310001,16.142
29/09/2019,55.271763,54.860001,15.428667
06/10/2019,57.511757,53.16,16.525999
13/10/2019,57.560463,50.549999,17.129999
20/10/2019,60.036617,54.259998,21.875334
27/10/2019,62.286346,52.52,20.887333
03/11/2019,63.338177,65.290001,22.476
10/11/2019,64.900772,67.370003,23.478001
17/11/2019,63.928822,72.089996,22.202667
24/11/2019,65.264641,73.800003,21.996
01/12/2019,66.109604,71.870003,22.392668
08/12/2019,67.193878,72.470001,23.892668
15/12/2019,68.241547,71.239998,27.039333
22/12/2019,70.771538,72.900002,28.691999
29/12/2019,72.63485,73.93,29.534
05/01/2020,75.785133,69.510002,31.876667
12/01/2020,77.836494,73.599998,34.033333
19/01/2020,77.733902,80.550003,37.654667
26/01/2020,75.584892,76.809998,43.371334
02/02/2020,78.153961,82.849998,49.871334
09/02/2020,79.5438,87.110001,53.335335
16/02/2020,76.630814,85.989998,60.066666
23/02/2020,66.915184,77.370003,44.532665
01/03/2020,70.751022,74.440002,46.898666
08/03/2020,68.043671,62.43,36.441334
15/03/2020,56.115154,60.779999,28.502001
22/03/2020,60.643723,74.410004,34.290668
29/03/2020,59.094219,61.509998,32.000668
05/04/2020,65.600677,74.699997,38.200001
12/04/2020,69.22599,76.720001,50.259335
19/04/2020,69.267601,71.839996,48.343334
26/04/2020,70.760811,69.519997,46.754665
03/05/2020,75.916054,86.129997,54.627998
10/05/2020,75.527557,73.910004,53.278
17/05/2020,78.271698,74.110001,54.458668
24/05/2020,78.038506,75.959999,55.666668
31/05/2020,81.366829,92.790001,59.043999
07/06/2020,83.158585,94.089996,62.352001
14/06/2020,85.838921,90.120003,66.726669
21/06/2020,86.798645,96.059998,63.982666
28/06/2020,89.370964,100.339996,80.577332
05/07/2020,94.174408,95.910004,102.976669
12/07/2020,94.574509,90.720001,100.056
19/07/2020,90.929581,85.620003,94.466667
26/07/2020,104.326248,83.129997,95.384003
02/08/2020,109.090439,83.879997,96.847336
09/08/2020,113.019791,79.580002,110.047333
16/08/2020,122.326843,82.610001,136.665329
23/08/2020,122.757156,83.839996,147.559998
30/08/2020,118.972862,82.669998,139.440002
06/09/2020,110.160065,83.910004,124.239998
13/09/2020,105.084816,82.550003,147.383331
20/09/2020,110.43544,87.199997,135.779999
27/09/2020,111.163292,91.550003,138.363327
04/10/2020,115.048416,98.989998,144.666672
11/10/2020,117.06472,109.160004,146.556671
18/10/2020,113.150101,102.910004,140.210007
25/10/2020,107.07164,98.900002,129.346664
01/11/2020,116.740158,122.589996,143.316666
08/11/2020,117.503166,120.980003,136.166672
15/11/2020,115.611435,124.809998,163.203339
22/11/2020,114.87249,125.550003,195.253326
29/11/2020,120.44912,124.18,199.679993
06/12/2020,120.606758,123.120003,203.330002
13/12/2020,124.794144,125.339996,231.666672
20/12/2020,130.025909,130.75,220.589996
27/12/2020,130.735336,122.529999,235.223328
03/01/2021,130.104767,125.360001,293.339996
10/01/2021,125.267067,150.770004,275.386658
17/01/2021,137.021332,170.259995,282.213318
24/01/2021,130.016052,164.160004,264.51001
31/01/2021,134.745377,177.179993,284.07666
07/02/2021,133.575119,195.539993,272.040009
14/02/2021,128.148071,177,260.433319
21/02/2021,119.652237,165.490005,225.166672
28/02/2021,119.810104,143.039993,199.316666
07/03/2021,119.425278,152.259995,231.243332
14/03/2021,118.399055,144.75,218.289993
21/03/2021,119.60289,137.820007,206.236664
28/03/2021,121.369148,143.059998,220.583328
04/04/2021,131.236557,149.419998,225.67334
11/04/2021,132.381195,152.740005,246.593338
18/04/2021,132.539063,153.940002,243.133331
25/04/2021,129.716995,151.610001,236.479996
02/05/2021,128.483582,134.740005,224.123337
09/05/2021,125.97377,132.759995,196.580002
16/05/2021,123.977165,127.07,193.626663
23/05/2021,123.166672,140.589996,208.406662
30/05/2021,124.431831,141.160004,199.683334
06/06/2021,125.874924,157.440002,203.296661
13/06/2021,128.948883,156.850006,207.770004
20/06/2021,131.568207,172.179993,223.956665
27/06/2021,138.338882,177.789993,226.300003
04/07/2021,143.429214,178.289993,218.983337
11/07/2021,144.694382,173.759995,214.740005
18/07/2021,146.839264,183.029999,214.460007
