Date,AAPL,AXXON,TSLA
08/03/2020,1616839600,5188700,1313100000
15/03/2020,1620263600,5434000,1901269500
22/03/2020,1384190000,4038900,1384957500
29/03/2020,837010800,4145400,1283149500
05/04/2020,735437600,2551400,886914000
12/04/2020,829547200,2379800,1656225000
19/04/2020,678844800,4072200,1133548500
26/04/2020,790054000,3099100,1696846500
03/05/2020,672706400,6293500,1124493000
10/05/2020,834147600,4655900,1135389000
17/05/2020,532904800,3065800,762805500
24/05/2020,525560400,2641700,579889500
31/05/2020,497736000,12642100,797313000
07/06/2020,811826800,7979000,1152093000
14/06/2020,779940400,9868900,871060500
21/06/2020,883003200,12951300,626950500
28/06/2020,495648000,3144900,847828500
05/07/2020,564072000,3370700,1401391500
12/07/2020,718600800,2697300,1536031500
19/07/2020,665196000,3401700,1366722000
26/07/2020,847635600,2480600,916702500
02/08/2020,1003474000,5306000,555912000
09/08/2020,941551200,3152300,1064706000
16/08/2020,835695200,2418100,1365352500
23/08/2020,1063638000,3247700,1331041500
30/08/2020,1167976600,2344800,1506928800
06/09/2020,771441800,4357200,1021738800
13/09/2020,944587000,2171000,1247352300
20/09/2020,847212600,2971700,1343704200
27/09/2020,640562200,3154800,810768000
04/10/2020,548575100,2100600,619030800
11/10/2020,881222300,2956000,568748400
18/10/2020,519569600,3106500,522074400
25/10/2020,684467100,2049900,424631100
01/11/2020,609571800,3841000,436909200
08/11/2020,589577900,3188500,366303300
15/11/2020,389493400,2253900,784374300
22/11/2020,365024000,1511700,571200300
29/11/2020,543370600,1717600,668506800
06/12/2020,452278700,2430100,916272300
13/12/2020,621538100,3765400,1252812600
20/12/2020,433310200,2234900,497399700
27/12/2020,441102200,1677800,443055900
03/01/2021,610791200,2884000,756413400
10/01/2021,482792700,5470500,626786100
17/01/2021,429687100,4064300,274861500
24/01/2021,716991000,3207100,459023400
31/01/2021,439303000,1601300,307381200
07/02/2021,345543100,4823100,350779800
14/02/2021,363020300,3047300,248142600
21/02/2021,685989200,3195800,662270100
28/02/2021,663456700,4652100,709177200
07/03/2021,586977300,2804800,749261100
14/03/2021,626343500,2361600,534067800
21/03/2021,488825800,2152600,530631000
28/03/2021,359904000,1628500,410115300
04/04/2021,447820500,2106000,425356200
11/04/2021,444178800,1606800,535902900
18/04/2021,421147600,2021000,511413000
25/04/2021,501621500,1396600,457051800
02/05/2021,453802300,2192300,389814300
09/05/2021,514165600,2296300,567827100
16/05/2021,386352000,2744900,496953300
23/05/2021,357615000,1742300,420932700
30/05/2021,278314500,1096700,286609500
06/06/2021,327048100,1899600,315919800
13/06/2021,457142800,3213600,322783500
20/06/2021,354155800,1945500,460649700
27/06/2021,321267200,2082700,310870200
04/07/2021,418559700,1061500,248970900
11/07/2021,504249300,1586100,315344700
18/07/2021,441563700,1485200,241344300
25/07/2021,423324000,1069000,402622500
01/08/2021,284559400,2161000,302343900
08/08/2021,298082900,1255700,216416400
15/08/2021,429361600,982900,287710500
22/08/2021,272129100,1782200,219125100
29/08/2021,386647700,1950500,242061900
05/09/2021,354897400,1172800,204284100
12/09/2021,492884800,2477700,296888100
19/09/2021,394033300,1376600,268605600
26/09/2021,441421300,1906100,328147200
03/10/2021,382910100,1506300,298449300
